;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120
1901;1;0.84052;0.81472;0.79983;0.79085;0.78409;0.77907;0.77521;0.77175;0.76872;0.76595;0.76346;0.76125;0.759;0.75672;0.7544;0.75155;0.74848;0.74485;0.74064;0.73621;0.73101;0.72522;0.71865;0.71277;0.70738;0.7023;0.69698;0.69197;0.68689;0.68174;0.67632;0.67082;0.66505;0.6594;0.65366;0.64741;0.64108;0.63443;0.62769;0.62085;0.61391;0.60709;0.59993;0.59241;0.58501;0.57699;0.56885;0.56031;0.5519;0.54335;0.53357;0.52419;0.51437;0.50411;0.49369;0.4828;0.47174;0.4599;0.44759;0.43541;0.42211;0.40896;0.39436;0.37996;0.3651;0.34945;0.3334;0.31665;0.29926;0.28258;0.26372;0.24609;0.22746;0.20895;0.18954;0.17096;0.15348;0.13561;0.11805;0.10292;0.08742;0.07435;0.0608;0.0496;0.03951;0.03147;0.02459;0.01858;0.01393;0.01036;0.00743;0.0054;0.00383;0.00267;0.00179;0.00124;0.00087;0.00059;0.00037;0.00022;0.00014;0.00009;0.00005;0.00003;0.00002;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0
1902;1;0.84961;0.82319;0.80874;0.7999;0.79327;0.78869;0.78481;0.78165;0.77891;0.77644;0.77424;0.77218;0.77008;0.76795;0.76578;0.76308;0.75982;0.75616;0.75211;0.74747;0.74242;0.73623;0.73036;0.72461;0.71918;0.71407;0.70889;0.70365;0.69834;0.69335;0.6879;0.68257;0.67654;0.67106;0.66529;0.65921;0.65305;0.64679;0.64021;0.63353;0.62652;0.61963;0.61216;0.60481;0.5971;0.58927;0.58105;0.57269;0.5642;0.55556;0.5465;0.53728;0.52761;0.5175;0.5072;0.49615;0.48521;0.47347;0.46155;0.44881;0.43526;0.42218;0.40729;0.3926;0.37808;0.36175;0.34568;0.32886;0.31135;0.29388;0.27517;0.25701;0.23719;0.21879;0.19905;0.17953;0.16146;0.14371;0.1251;0.1085;0.09291;0.07964;0.06596;0.05343;0.04307;0.03416;0.02685;0.02048;0.01563;0.01172;0.00833;0.00597;0.00427;0.00306;0.00209;0.00147;0.00106;0.00073;0.00052;0.0003;0.00016;0.00009;0.00004;0.00002;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1903;1;0.8477;0.82222;0.80838;0.79992;0.79409;0.78983;0.78628;0.78314;0.78071;0.77841;0.77623;0.77434;0.77209;0.77013;0.76798;0.76529;0.76205;0.75859;0.75422;0.74996;0.74494;0.73915;0.73295;0.72742;0.72203;0.71676;0.7118;0.7066;0.70152;0.69656;0.69134;0.68584;0.68026;0.67502;0.66949;0.66366;0.65774;0.6515;0.64517;0.63874;0.63198;0.62535;0.61812;0.61103;0.60381;0.59571;0.588;0.58015;0.57189;0.56375;0.55491;0.54618;0.53615;0.52653;0.51673;0.50643;0.49502;0.48374;0.47224;0.45989;0.44605;0.43333;0.41873;0.4033;0.38806;0.37233;0.35578;0.33878;0.32071;0.30268;0.28304;0.26465;0.24482;0.22481;0.20508;0.18516;0.16614;0.14752;0.12975;0.11205;0.09478;0.08101;0.06751;0.05534;0.04371;0.03466;0.02707;0.02069;0.0158;0.01121;0.00843;0.00617;0.0044;0.00304;0.00195;0.00129;0.00084;0.00059;0.00035;0.00025;0.00013;0.00007;0.00003;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1904;1;0.83996;0.81376;0.80097;0.79318;0.78783;0.78391;0.78068;0.77786;0.77545;0.77317;0.771;0.76912;0.76721;0.7651;0.76297;0.76046;0.75724;0.75346;0.74929;0.74471;0.73991;0.7347;0.72889;0.72303;0.71784;0.7126;0.7073;0.70251;0.69745;0.69272;0.68732;0.68246;0.6769;0.67147;0.66617;0.66036;0.65424;0.64825;0.64194;0.63576;0.62878;0.62217;0.6152;0.60812;0.60117;0.59358;0.58561;0.57777;0.56925;0.56139;0.55201;0.54385;0.53439;0.52417;0.51407;0.50379;0.49269;0.4814;0.46959;0.45725;0.44342;0.43006;0.41584;0.40077;0.38554;0.36947;0.35329;0.3363;0.31856;0.30082;0.28044;0.26207;0.24162;0.22234;0.20233;0.18223;0.16309;0.14444;0.12603;0.1095;0.09237;0.07843;0.06541;0.05392;0.04311;0.03373;0.02653;0.0201;0.01493;0.01116;0.00794;0.00585;0.00412;0.0028;0.00189;0.00133;0.00092;0.00065;0.00043;0.00027;0.00018;0.00012;0.00008;0.00004;0.00003;0.00002;0.00002;0.00001;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0
1905;1;0.84957;0.82464;0.81198;0.804;0.79838;0.7942;0.79105;0.78815;0.78569;0.78335;0.78129;0.77936;0.77739;0.7754;0.77304;0.77046;0.76733;0.76362;0.75933;0.75499;0.75004;0.74467;0.73888;0.7334;0.72805;0.72283;0.71754;0.71219;0.70697;0.70168;0.69631;0.69107;0.68533;0.67972;0.6738;0.6678;0.6617;0.65528;0.64853;0.64167;0.63447;0.6274;0.61972;0.61217;0.6045;0.59618;0.58772;0.57913;0.57012;0.56152;0.55163;0.54215;0.53164;0.52155;0.51068;0.49932;0.48778;0.47574;0.46256;0.44985;0.43597;0.42159;0.4064;0.39108;0.37563;0.35872;0.3421;0.32508;0.30704;0.2894;0.26988;0.25101;0.23122;0.21227;0.19326;0.17381;0.15583;0.13771;0.11983;0.10361;0.08799;0.07415;0.06106;0.05008;0.04019;0.03104;0.02391;0.01828;0.0137;0.00989;0.00695;0.00502;0.00343;0.00227;0.00152;0.00092;0.00059;0.0004;0.00026;0.00013;0.00008;0.00005;0.00003;0.00001;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1906;1;0.84222;0.81558;0.80229;0.79423;0.7888;0.78452;0.78124;0.77838;0.77624;0.77392;0.77188;0.76996;0.76802;0.76587;0.76353;0.76081;0.75754;0.75387;0.74944;0.7446;0.73989;0.7344;0.72849;0.72307;0.71779;0.71244;0.70741;0.70212;0.69696;0.69193;0.68662;0.68123;0.67535;0.6698;0.66396;0.65781;0.65201;0.64589;0.63898;0.63244;0.62508;0.61833;0.6105;0.60279;0.59521;0.58725;0.57889;0.5704;0.56123;0.55246;0.54297;0.53333;0.52324;0.51298;0.50255;0.49132;0.47992;0.46802;0.4553;0.44271;0.42865;0.41444;0.39911;0.38399;0.36841;0.35174;0.33537;0.31827;0.30053;0.28256;0.26345;0.24591;0.2258;0.20664;0.18838;0.16963;0.15125;0.13412;0.11665;0.10079;0.08554;0.07281;0.05921;0.04825;0.0388;0.03015;0.0232;0.01738;0.01293;0.00947;0.00663;0.00472;0.00324;0.00216;0.00141;0.0009;0.00057;0.00035;0.00022;0.00012;0.00008;0.00005;0.00003;0.00002;0.00001;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0
1907;1;0.85596;0.8304;0.81931;0.8119;0.80659;0.80261;0.79952;0.79671;0.79449;0.79224;0.79028;0.78846;0.7866;0.78454;0.78228;0.77962;0.7762;0.77256;0.76812;0.76325;0.75814;0.75164;0.74566;0.74021;0.73488;0.72949;0.72423;0.71889;0.71349;0.708;0.70244;0.69658;0.69085;0.68459;0.67846;0.67201;0.66546;0.65834;0.65111;0.64378;0.63609;0.62828;0.62035;0.61178;0.60308;0.59399;0.58531;0.5762;0.56667;0.5567;0.54658;0.53629;0.52613;0.51459;0.50318;0.49097;0.47891;0.46633;0.45324;0.43931;0.42425;0.40938;0.39372;0.37761;0.36076;0.34388;0.32663;0.30939;0.29084;0.27216;0.25339;0.2343;0.21504;0.19578;0.17668;0.15768;0.14001;0.12291;0.10659;0.09066;0.07625;0.06362;0.05223;0.04173;0.0329;0.02578;0.01993;0.01486;0.01096;0.00806;0.00574;0.00404;0.0028;0.00194;0.00129;0.00084;0.00056;0.00035;0.00023;0.00014;0.00008;0.00005;0.00003;0.00002;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1908;1;0.85714;0.83208;0.82222;0.81552;0.81058;0.80682;0.80377;0.80115;0.79896;0.79706;0.79513;0.79349;0.79166;0.78964;0.78757;0.78496;0.78177;0.77817;0.7738;0.7692;0.76416;0.75776;0.75206;0.74669;0.74164;0.73653;0.73134;0.72589;0.72078;0.71538;0.70991;0.70436;0.69873;0.69323;0.68698;0.68064;0.67443;0.66789;0.66125;0.65451;0.6474;0.64019;0.63285;0.62489;0.61679;0.6083;0.59994;0.5909;0.58171;0.57237;0.5623;0.55236;0.54226;0.53167;0.5203;0.50845;0.49642;0.4842;0.47115;0.45727;0.44323;0.42869;0.41399;0.39846;0.38178;0.36505;0.34758;0.32978;0.31202;0.29332;0.27447;0.25492;0.23546;0.21619;0.19662;0.17755;0.15883;0.14089;0.12359;0.10713;0.09131;0.07713;0.06436;0.05324;0.04264;0.03371;0.02649;0.02054;0.01551;0.01145;0.00859;0.00609;0.00425;0.00289;0.00195;0.00137;0.00089;0.00058;0.00036;0.0002;0.00011;0.00007;0.00004;0.00002;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1909;1;0.86792;0.84343;0.83328;0.82678;0.82207;0.81824;0.81529;0.81279;0.81056;0.80863;0.80683;0.80483;0.80314;0.80142;0.79932;0.79665;0.79359;0.78992;0.78566;0.78133;0.77638;0.77023;0.76441;0.7595;0.75453;0.74929;0.74418;0.739;0.73375;0.72843;0.72302;0.71754;0.71196;0.70608;0.69987;0.69357;0.68717;0.68091;0.67405;0.66659;0.65951;0.65181;0.64424;0.6368;0.62815;0.61937;0.61072;0.60136;0.59213;0.58216;0.57173;0.56114;0.55037;0.53942;0.52796;0.51568;0.5032;0.49053;0.47732;0.4629;0.44763;0.43324;0.41726;0.40114;0.38418;0.3661;0.34801;0.32958;0.31051;0.29124;0.27116;0.25113;0.2309;0.21065;0.19085;0.17158;0.15271;0.13372;0.11685;0.10038;0.08489;0.07078;0.05813;0.04756;0.03809;0.02962;0.02276;0.01731;0.01297;0.00944;0.0067;0.0048;0.00328;0.00218;0.00151;0.001;0.0006;0.00037;0.00027;0.00011;0.00008;0.00006;0.00004;0.00003;0.00002;0.00002;0.00001;0.00001;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0
1910;1;0.87584;0.85191;0.84171;0.83557;0.83135;0.82785;0.82509;0.82291;0.8207;0.81894;0.81715;0.8155;0.81382;0.81194;0.81004;0.80757;0.80452;0.80089;0.79666;0.79219;0.78748;0.78214;0.77656;0.77149;0.76656;0.76176;0.7565;0.75157;0.74616;0.74088;0.73574;0.73031;0.72479;0.71897;0.71328;0.70728;0.70117;0.69497;0.6889;0.682;0.67497;0.66759;0.66008;0.65244;0.64441;0.63624;0.62766;0.61921;0.61003;0.6007;0.59091;0.58066;0.57023;0.55931;0.54821;0.53659;0.52478;0.5121;0.49889;0.48548;0.47152;0.45666;0.44162;0.42533;0.4089;0.39162;0.37389;0.35573;0.33683;0.31728;0.29752;0.27694;0.2564;0.23566;0.21491;0.19461;0.17432;0.1546;0.13541;0.11857;0.10167;0.08601;0.07174;0.05921;0.04807;0.03836;0.02992;0.02319;0.01747;0.01309;0.00976;0.00681;0.0049;0.00347;0.00236;0.00153;0.00105;0.00079;0.00054;0.00025;0.00017;0.00012;0.00008;0.00004;0.00003;0.00002;0.00002;0.00001;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0
1911;1;0.83424;0.80539;0.79519;0.78904;0.78458;0.78124;0.7786;0.77637;0.77426;0.77243;0.77072;0.76914;0.76738;0.76542;0.76344;0.76091;0.75784;0.7542;0.75017;0.74555;0.74088;0.73507;0.72976;0.72457;0.7197;0.71477;0.70977;0.7049;0.69976;0.69475;0.68967;0.68452;0.67908;0.67376;0.66815;0.66245;0.65643;0.65032;0.64389;0.63735;0.6307;0.62394;0.61731;0.61006;0.60243;0.59493;0.58702;0.57871;0.56998;0.56109;0.55233;0.5431;0.53283;0.5221;0.51149;0.50068;0.48968;0.47751;0.46484;0.45196;0.43855;0.42493;0.40942;0.39445;0.37862;0.36196;0.34452;0.3267;0.30822;0.28948;0.27089;0.25146;0.2311;0.21132;0.19127;0.17151;0.15248;0.1343;0.11685;0.09933;0.08458;0.07089;0.05814;0.04697;0.03714;0.02881;0.02191;0.01643;0.01195;0.00864;0.00618;0.00428;0.00293;0.00197;0.00129;0.00085;0.0005;0.00032;0.00023;0.00016;0.00007;0.00003;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1912;1;0.87879;0.85518;0.84521;0.83843;0.83329;0.82963;0.82655;0.82436;0.82231;0.82038;0.81842;0.81677;0.81509;0.81338;0.81129;0.80882;0.80595;0.80267;0.79861;0.79431;0.78958;0.78383;0.7788;0.77371;0.76856;0.76314;0.75827;0.75291;0.74769;0.7424;0.73681;0.73158;0.72605;0.72021;0.71406;0.70781;0.7017;0.69502;0.68775;0.68111;0.67387;0.66676;0.65927;0.65166;0.64339;0.63499;0.62645;0.61776;0.60865;0.5988;0.58909;0.57921;0.56856;0.55804;0.54609;0.53429;0.5223;0.50979;0.49676;0.48288;0.46915;0.45488;0.44007;0.42369;0.40755;0.39022;0.37318;0.35499;0.33646;0.31763;0.2982;0.27863;0.25898;0.23837;0.21743;0.1967;0.17667;0.15666;0.13848;0.12083;0.10399;0.08928;0.07572;0.06251;0.05132;0.04151;0.03287;0.0254;0.01922;0.01439;0.01074;0.00794;0.00571;0.00388;0.00275;0.00181;0.00113;0.00078;0.00053;0.00039;0.00022;0.00013;0.00007;0.00003;0.00002;0.00001;0.00001;0;0;0;0;0;0;0;0;0;0;0;0;0
