;Taux reversion RG;Min reversion RG;Max reversion RG;Plafond ressources RG;Taux reversion ARRCO;Taux reversion AGIRC;Taux reversion FP;Taux reversion ind_pendants
2025;0.6;4248.67;11496.52;24820.63;0.6;0.6;0.5;0.5
2026;0.6;4325.15;11671.84;25317.05;0.6;0.6;0.5;0.5
2027;0.6;4403;11849.84;25823.39;0.6;0.6;0.5;0.5
2028;0.6;4482.25;12030.55;26339.86;0.6;0.6;0.5;0.5
2029;0.6;4562.93;12214.02;26866.65;0.6;0.6;0.5;0.5
2030;0.6;4645.07;12400.28;27403.99;0.6;0.6;0.5;0.5
2031;0.6;4728.68;12589.38;27952.07;0.6;0.6;0.5;0.5
2032;0.6;4813.79;12781.37;28511.11;0.6;0.6;0.5;0.5
2033;0.6;4900.44;12976.29;29081.33;0.6;0.6;0.5;0.5
2034;0.6;4988.65;13174.18;29662.96;0.6;0.6;0.5;0.5
2035;0.6;5078.45;13375.08;30256.22;0.6;0.6;0.5;0.5
2036;0.6;5169.86;13579.05;30861.34;0.6;0.6;0.5;0.5
2037;0.6;5262.92;13786.13;31478.57;0.6;0.6;0.5;0.5
2038;0.6;5357.65;13996.37;32108.14;0.6;0.6;0.5;0.5
2039;0.6;5454.09;14209.82;32750.3;0.6;0.6;0.5;0.5
2040;0.6;5552.26;14426.52;33405.31;0.6;0.6;0.5;0.5
2041;0.6;5652.2;14646.52;34073.41;0.6;0.6;0.5;0.5
2042;0.6;5753.94;14869.88;34754.88;0.6;0.6;0.5;0.5
2043;0.6;5857.51;15096.65;35449.98;0.6;0.6;0.5;0.5
2044;0.6;5962.95;15326.87;36158.98;0.6;0.6;0.5;0.5
2045;0.6;6070.28;15560.6;36882.16;0.6;0.6;0.5;0.5
2046;0.6;6179.54;15797.9;37619.8;0.6;0.6;0.5;0.5
2047;0.6;6290.78;16038.82;38372.2;0.6;0.6;0.5;0.5
2048;0.6;6404.01;16283.41;39139.64;0.6;0.6;0.5;0.5
2049;0.6;6519.28;16531.74;39922.43;0.6;0.6;0.5;0.5
2050;0.6;6636.63;16783.84;40720.88;0.6;0.6;0.5;0.5
2051;0.6;6756.09;17039.8;41535.3;0.6;0.6;0.5;0.5
2052;0.6;6877.7;17295.4;42366.01;0.6;0.6;0.5;0.5
2053;0.6;7001.5;17554.83;43213.33;0.6;0.6;0.5;0.5
2054;0.6;7127.52;17818.15;44077.59;0.6;0.6;0.5;0.5
2055;0.6;7255.82;18085.42;44959.14;0.6;0.6;0.5;0.5
2056;0.6;7386.42;18356.7;45858.33;0.6;0.6;0.5;0.5
2057;0.6;7519.38;18632.05;46775.49;0.6;0.6;0.5;0.5
2058;0.6;7654.73;18911.53;47711;0.6;0.6;0.5;0.5
2059;0.6;7792.51;19195.21;48665.22;0.6;0.6;0.5;0.5
2060;0.6;7932.78;19483.13;49638.53;0.6;0.6;0.5;0.5
2061;0.6;8075.57;19775.38;50631.3;0.6;0.6;0.5;0.5
2062;0.6;8220.93;20072.01;51643.92;0.6;0.6;0.5;0.5
2063;0.6;8368.9;20373.09;52676.8;0.6;0.6;0.5;0.5
2064;0.6;8519.54;20678.69;53730.34;0.6;0.6;0.5;0.5
2065;0.6;8672.9;20988.87;54804.95;0.6;0.6;0.5;0.5
2066;0.6;8829.01;21303.7;55901.04;0.6;0.6;0.5;0.5
2067;0.6;8987.93;21623.26;57019.07;0.6;0.6;0.5;0.5
2068;0.6;9149.71;21947.61;58159.45;0.6;0.6;0.5;0.5
2069;0.6;9314.41;22276.82;59322.64;0.6;0.6;0.5;0.5
2070;0.6;9482.07;22610.97;60509.09;0.6;0.6;0.5;0.5
2071;0.6;9652.75;22950.14;61719.27;0.6;0.6;0.5;0.5
2072;0.6;9826.49;23294.39;62953.66;0.6;0.6;0.5;0.5
2073;0.6;10003.37;23643.81;64212.73;0.6;0.6;0.5;0.5
2074;0.6;10183.43;23998.46;65496.98;0.6;0.6;0.5;0.5
2075;0.6;10366.73;24358.44;66806.92;0.6;0.6;0.5;0.5
2076;0.6;10553.34;24723.82;68143.06;0.6;0.6;0.5;0.5
2077;0.6;10743.3;25094.67;69505.92;0.6;0.6;0.5;0.5
2078;0.6;10936.67;25471.09;70896.04;0.6;0.6;0.5;0.5
2079;0.6;11133.53;25853.16;72313.96;0.6;0.6;0.5;0.5
2080;0.6;11333.94;26240.96;73760.24;0.6;0.6;0.5;0.5
2081;0.6;11537.95;26634.57;75235.45;0.6;0.6;0.5;0.5
2082;0.6;11745.63;27034.09;76740.15;0.6;0.6;0.5;0.5
2083;0.6;11957.05;27439.6;78274.96;0.6;0.6;0.5;0.5
2084;0.6;12172.28;27851.2;79840.46;0.6;0.6;0.5;0.5
2085;0.6;12391.38;28268.96;81437.27;0.6;0.6;0.5;0.5
2086;0.6;12614.43;28693;83066.01;0.6;0.6;0.5;0.5
2087;0.6;12841.49;29123.39;84727.33;0.6;0.6;0.5;0.5
2088;0.6;13072.63;29560.24;86421.88;0.6;0.6;0.5;0.5
2089;0.6;13307.94;30003.65;88150.32;0.6;0.6;0.5;0.5
