;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
18;414862;411082;409295;400764;394352;378654;379483;390536;396041;393247;399049;402996;420192;411381;405968;401718;404052;405169;413388;419291;424465;421268;419841;418644;417627;416738;416000;415434;415309;415139;414859;414462;413963;413405;412860;412400;412104;412040;412261;412735;413416;414268;415268;416391;417591;418856;420155;421447;422675;423790;424756;425544;426150;426589
19;410097;413885;410113;408332;399811;393408;377723;378556;389608;395115;392327;398130;402080;419272;410470;405063;400819;403156;404276;412496;418400;423576;420384;418961;417767;416754;415869;415134;414571;414449;414282;414005;413611;413115;412560;412018;411560;411267;411206;411429;411905;412588;413442;414444;415569;416771;418038;419338;420632;421862;422978;423946;424736;425343
20;409834;408111;411903;408140;406366;397856;391463;375792;376630;387681;393190;390408;396213;400166;417354;408561;403161;398924;401264;402388;410608;416514;421692;418505;417086;415897;414888;414007;413275;412716;412597;412434;412160;411769;411276;410724;410185;409730;409440;409382;409607;410086;410771;411627;412631;413759;414963;416231;417533;418829;420061;421179;422149;422941
21;397336;407563;405848;409645;405891;404124;395626;389243;373587;374430;385480;390991;388216;394023;397979;415163;406380;400987;396757;399100;400228;408449;414357;419537;416355;414941;413756;412752;411875;411147;410591;410476;410316;410046;409658;409168;408620;408084;407632;407345;407289;407517;407999;408686;409544;410551;411681;412887;414157;415461;416759;417993;419113;420084
22;385460;395722;405949;404242;408044;404299;402540;394054;387682;372041;372890;383938;389452;386684;392493;396452;413632;404859;399474;395250;397597;398729;406951;412861;418043;414867;413457;412277;411277;410405;409681;409129;409017;408861;408594;408210;407723;407179;406646;406197;405913;405860;406091;406575;407265;408125;409135;410267;411475;412747;414053;415353;416589;417711
23;374174;384713;394974;405201;403502;407308;403573;401821;393347;386986;371360;372214;383261;388777;386016;391827;395790;412966;404202;398825;394608;396958;398094;406317;412229;417413;414243;412837;411662;410666;409799;409079;408530;408422;408270;408006;407626;407142;406601;406071;405626;405345;405294;405528;406015;406707;407570;408582;409716;410926;412200;413508;414810;416048
24;396378;374198;384736;394997;405223;403533;407343;403617;401873;393411;387060;371450;372309;383354;388873;386119;391932;395898;413070;404315;398946;394736;397089;398229;406453;412367;417553;414389;412987;411817;410825;409962;409246;408701;408597;408448;408188;407811;407330;406793;406266;405824;405546;405498;405735;406224;406919;407784;408798;409934;411147;412423;413733;415037
25;396854;397032;374877;385414;395675;405900;404219;408033;404317;402580;394130;387790;372195;373059;384103;389625;386878;392693;396662;413830;405084;399723;395520;397877;399021;407245;413161;418349;415191;413794;412628;411641;410782;410070;409529;409428;409283;409027;408653;408175;407642;407118;406679;406404;406359;406599;407090;407788;408655;409671;410810;412025;413303;414615
26;398322;398052;398238;376108;386644;396905;407129;405457;409275;405568;403839;395401;389071;373492;374361;385404;390928;388188;394005;397977;415141;406405;401051;396855;399216;400364;408588;414506;419696;416544;415152;413990;413008;412153;411445;410908;410810;410669;410416;410046;409571;409041;408521;408085;407813;407771;408013;408507;409207;410077;411095;412236;413453;414733
27;375869;400060;399798;399991;377886;388421;398681;408905;407241;411063;407365;405644;397217;390897;375333;376207;387249;392775;390042;395861;399836;416996;408270;402923;398734;401098;402250;410475;416395;421587;418440;417053;415895;414917;414067;413362;412829;412735;412597;412348;411981;411509;410983;410466;410033;409764;409724;409969;410466;411168;412040;413061;414204;415423
28;369713;378240;402419;402165;402366;380285;390819;401079;411303;409647;413473;409784;408070;399655;393345;377795;378674;389715;395244;392517;398338;402316;419473;410756;405416;401234;403601;404757;412983;418905;424099;420957;419575;418421;417447;416601;415900;415371;415281;415146;414900;414537;414068;413545;413031;412601;412335;412298;412545;413045;413749;414624;415647;416792
29;376439;372600;381128;405295;405049;405258;383202;393735;403995;414219;412571;416402;412722;411016;402613;396313;380778;381662;392702;398234;395514;401337;405318;422471;413764;408432;404256;406627;407787;416014;421938;427134;423997;422620;421471;420501;419659;418962;418437;418351;418219;417977;417617;417152;416632;416121;415694;415431;415397;415647;416149;416856;417733;418758
30;367615;379679;375852;384380;408535;408297;408514;386483;397015;407275;417499;415859;419694;416024;414326;405935;399645;384126;385015;396054;401588;398875;404700;408684;425833;417136;411812;407643;410017;411181;419409;425335;430533;427402;426030;424885;423920;423082;422389;421868;421786;421657;421419;421062;420601;420084;419576;419153;418893;418862;419114;419619;420329;421208
31;379862;370769;382830;379015;387544;411686;411456;411681;389676;400207;410466;420690;419058;422898;419237;417547;409169;402889;387386;388280;399318;404854;402149;407976;411963;429108;420421;415105;410943;413320;414489;422717;428645;433845;430720;429353;428213;427252;426419;425730;425213;425135;425009;424775;424422;423964;423451;422946;422526;422269;422241;422496;423004;423717
32;404209;382653;373577;385635;381831;390360;414489;414267;414500;392521;403050;413308;423532;421908;425752;422101;420419;412053;405784;390297;391196;402233;407771;405073;410902;414892;432033;423356;418048;413893;416274;417447;425675;431605;436807;433688;432326;431191;430235;429406;428722;428209;428135;428012;427782;427433;426978;426469;425968;425551;425297;425272;425530;426041
33;430032;406442;384918;375859;387913;384121;392650;416764;416550;416791;394839;405366;415623;425846;424230;428078;424437;422764;414411;408153;392683;393587;404622;410162;407472;413303;417296;434432;425765;420466;416319;418703;419881;428109;434041;439245;436132;434775;433646;432694;431870;431191;430682;430612;430493;430267;429922;429471;428966;428469;428055;427805;427783;428044
34;442664;431668;408113;386622;377580;389630;385849;394377;418475;418269;418518;396594;407119;417374;427595;425988;429839;426208;424544;416204;409957;394505;395414;406447;411989;409307;415139;419135;436265;427609;422319;418180;420568;421750;429978;435911;441117;438011;436659;435536;434589;433770;433095;432591;432525;432410;432188;431847;431400;430899;430406;429996;429750;429731
35;441825;443821;432848;409330;387873;378849;390894;387125;395651;419732;419534;419791;397896;408418;418671;428889;427291;431146;427525;425870;417544;411308;395875;396790;407820;413363;410689;416523;420521;437645;429001;423720;419589;421981;423167;431395;437329;442537;439438;438092;436974;436033;435219;434549;434049;433988;433877;433660;433323;432880;432383;431894;431488;431246
36;433291;442557;444560;433611;410132;388710;379705;391743;387986;396510;420571;420381;420645;398782;409300;419549;429764;428175;432033;428423;426776;418465;412241;396829;397749;408775;414319;411654;417488;421489;438605;429974;424702;420580;422976;424166;432393;438328;443538;440446;439106;437994;437059;436250;435585;435090;435034;434927;434715;434382;433944;433451;432967;432565
37;429512;433800;443062;445073;434148;410710;389325;380340;392370;388626;397147;421187;421005;421277;399447;409960;420205;430417;428837;432698;429099;427461;419166;412955;397564;398490;409511;415056;412400;418235;422238;439345;430728;425466;421353;423753;424948;433174;439109;444321;441237;439903;438797;437868;437065;436405;435915;435864;435762;435555;435226;434793;434305;433826
