;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
34;44000;42379;40606;39803;41167;41071;42438;45459;45391;45127;42845;43644;44570;45464;45177;45415;45193;44645;43970;43459;41628;41916;42913;43235;42710;43662;43976;45508;45065;44270;44005;44042;44383;45122;45757;46289;45958;45818;45694;45590;45498;45422;45364;45352;45335;45307;45266;45215;45158;45102;45055;45024;45019;45042
35;38907;38807;37361;35705;35173;36551;36645;38046;40944;40609;40373;38339;39051;39877;40675;40420;40632;40434;39946;39344;38889;37256;37513;38403;38690;38222;39071;39351;40718;40323;39615;39379;39412;39715;40375;40942;41416;41121;40996;40886;40793;40711;40644;40592;40582;40567;40542;40506;40460;40409;40360;40318;40291;40286
36;32427;33625;33356;32063;30819;30531;31902;32163;33575;35709;35418;35213;33445;34064;34783;35477;35255;35440;35268;34844;34321;33925;32506;32729;33503;33753;33347;34085;34329;35518;35174;34558;34353;34382;34647;35220;35713;36126;35870;35761;35666;35585;35514;35456;35411;35402;35389;35368;35336;35297;35253;35210;35174;35150
37;25720;26988;27771;27741;26854;25995;25932;27280;27694;28416;30216;29971;29799;28307;28830;29437;30023;29835;29992;29847;29489;29048;28715;27517;27706;28359;28570;28227;28850;29056;30060;29770;29251;29078;29102;29326;29810;30226;30575;30359;30268;30187;30119;30059;30010;29972;29965;29954;29936;29910;29877;29840;29804;29773
38;20165;21156;21879;22605;22722;22135;21563;21646;22911;22707;23298;24770;24570;24429;23209;23637;24134;24613;24460;24588;24470;24178;23817;23545;22565;22720;23254;23427;23147;23657;23825;24646;24409;23985;23843;23864;24047;24443;24783;25069;24892;24817;24752;24696;24648;24608;24577;24571;24562;24548;24527;24499;24469;24440
39;15313;16017;16792;17681;18270;18369;17900;17443;17515;17986;17826;18289;19442;19285;19175;18220;18556;18944;19320;19200;19301;19208;18980;18697;18484;17717;17838;18257;18393;18173;18573;18705;19348;19163;18830;18720;18736;18879;19189;19456;19680;19542;19483;19432;19389;19351;19319;19296;19291;19284;19273;19256;19235;19212
40;11612;12127;12202;12763;13502;14018;14162;13868;13579;13228;13583;13463;13812;14681;14563;14480;13760;14013;14306;14589;14500;14575;14506;14334;14121;13960;13383;13474;13790;13892;13727;14028;14128;14612;14473;14222;14139;14151;14259;14493;14695;14863;14759;14715;14677;14644;14616;14592;14574;14571;14566;14558;14545;14529
41;8446;8239;8409;8814;9273;9865;10302;10467;10310;9749;9497;9751;9666;9915;10538;10454;10395;9879;10060;10270;10473;10409;10464;10414;10290;10138;10023;9609;9675;9901;9975;9856;10072;10144;10491;10391;10212;10152;10161;10238;10406;10551;10671;10597;10566;10538;10515;10494;10478;10465;10463;10459;10453;10444
42;5415;5722;5553;5802;6101;6440;6874;7202;7343;6944;6567;6397;6569;6511;6679;7098;7041;7001;6655;6777;6918;7055;7011;7048;7015;6932;6830;6752;6474;6518;6670;6720;6640;6785;6834;7067;7000;6880;6840;6846;6898;7011;7108;7189;7139;7118;7100;7084;7070;7059;7051;7049;7047;7043
43;3230;3446;3532;3595;3769;3977;4213;4512;4744;4628;4376;4139;4032;4140;4104;4210;4473;4438;4413;4195;4272;4361;4447;4419;4443;4422;4369;4305;4256;4081;4109;4205;4236;4186;4278;4308;4455;4413;4337;4312;4316;4349;4420;4481;4532;4501;4487;4476;4466;4457;4450;4445;4444;4443
44;1852;1956;2014;2119;2167;2282;2419;2574;2770;2777;2709;2562;2423;2361;2424;2403;2465;2619;2598;2584;2456;2501;2553;2603;2588;2601;2589;2558;2521;2492;2390;2406;2462;2481;2451;2505;2523;2609;2584;2540;2525;2527;2547;2588;2624;2654;2636;2628;2621;2615;2610;2606;2603;2603
45;875;993;954;1014;1094;1147;1238;1345;1466;1498;1501;1465;1385;1310;1277;1311;1299;1333;1416;1405;1397;1328;1353;1381;1408;1399;1407;1400;1384;1363;1348;1293;1302;1332;1342;1326;1355;1364;1411;1398;1374;1366;1367;1377;1400;1419;1436;1426;1422;1418;1415;1412;1410;1408
46;396;437;496;538;570;613;641;690;747;755;771;773;754;713;675;657;675;669;686;729;723;719;684;696;711;725;721;724;721;713;702;694;666;670;686;691;683;698;703;727;720;708;703;704;709;721;731;739;734;732;730;729;727;726
47;219;220;218;253;286;315;353;385;432;434;439;448;449;438;414;392;382;392;389;399;424;420;418;397;405;413;421;419;421;419;414;408;403;387;390;399;402;397;406;408;422;418;411;409;409;412;419;425;430;427;426;424;424;423
48;88;131;132;151;180;210;238;275;309;308;310;313;320;321;313;296;280;273;280;278;285;303;301;299;284;289;295;301;299;301;300;296;292;288;277;279;285;287;284;290;292;302;299;294;292;293;295;300;304;307;305;304;304;303
49;43;88;44;60;82;117;162;219;301;292;292;294;297;303;304;296;280;265;259;265;263;270;287;285;283;269;274;280;285;284;285;284;280;276;273;262;264;270;272;269;275;277;286;283;279;277;277;279;284;288;291;289;288;288
50;43;43;44;62;87;122;178;253;351;351;340;340;342;346;353;354;346;327;309;301;309;307;315;334;332;330;314;319;326;333;331;332;331;327;322;319;306;308;315;317;314;320;323;334;331;325;323;323;326;331;336;340;337;336
