;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120
1911;0.1658;0.0346;0.0127;0.0077;0.0057;0.0043;0.0034;0.0029;0.0027;0.0024;0.0022;0.002;0.0023;0.0025;0.0026;0.0033;0.004;0.0048;0.0054;0.0062;0.0063;0.0078;0.0072;0.0071;0.0067;0.0069;0.007;0.0069;0.0073;0.0072;0.0073;0.0075;0.008;0.0078;0.0083;0.0085;0.0091;0.0093;0.0099;0.0102;0.0104;0.0107;0.0106;0.0117;0.0125;0.0125;0.0133;0.0142;0.0151;0.0156;0.0156;0.0167;0.0189;0.0201;0.0203;0.0211;0.022;0.0248;0.0265;0.0277;0.0297;0.0311;0.0365;0.0366;0.0401;0.044;0.0482;0.0517;0.0566;0.0608;0.0642;0.0717;0.081;0.0856;0.0949;0.1033;0.1109;0.1192;0.1299;0.1499;0.1485;0.1619;0.1799;0.1921;0.2093;0.2243;0.2394;0.25;0.2727;0.2767;0.2852;0.3074;0.3147;0.3285;0.3444;0.3411;0.4148;0.3487;0.3;0.2818;0.597;0.5581;0.6635;0.7814;0.5628;0.483;0.5056;0.5282;0.5505;0.5724;0.594;0.615;0.6354;0.6552;0.6743;0.6926;0.7102;0.7269;0.7428;0.7579;0.7721
1912;0.1212;0.0269;0.0117;0.008;0.0061;0.0044;0.0037;0.0026;0.0025;0.0023;0.0024;0.002;0.0021;0.0021;0.0026;0.003;0.0035;0.0041;0.0051;0.0054;0.006;0.0073;0.0064;0.0065;0.0067;0.007;0.0064;0.0071;0.0069;0.0071;0.0075;0.0071;0.0076;0.008;0.0085;0.0087;0.0086;0.0095;0.0105;0.0097;0.0106;0.0106;0.0112;0.0115;0.0127;0.0131;0.0134;0.0139;0.0148;0.0162;0.0162;0.0168;0.0184;0.0185;0.0214;0.0216;0.0224;0.0239;0.0256;0.0279;0.0284;0.0304;0.0326;0.0372;0.0381;0.0425;0.0437;0.0487;0.0522;0.056;0.0612;0.0656;0.0705;0.0796;0.0879;0.0953;0.1019;0.1133;0.116;0.1275;0.1394;0.1414;0.1519;0.1744;0.1791;0.1912;0.2082;0.2273;0.2431;0.2514;0.2537;0.261;0.2805;0.3211;0.2918;0.3418;0.3772;0.3065;0.3207;0.2595;0.4333;0.4051;0.4816;0.5672;0.4085;0.3505;0.367;0.3834;0.3996;0.4155;0.4311;0.4464;0.4612;0.4756;0.4894;0.5027;0.5155;0.5276;0.5392;0.5501;0.5604
1913;0.1258;0.0285;0.0113;0.0073;0.0054;0.0044;0.0033;0.0026;0.0025;0.0023;0.002;0.0022;0.0021;0.0021;0.0028;0.0028;0.0038;0.0045;0.005;0.0058;0.0062;0.0075;0.0071;0.006;0.0064;0.0068;0.0066;0.0065;0.0072;0.0068;0.0069;0.0077;0.0075;0.008;0.0079;0.0087;0.0086;0.0092;0.0094;0.01;0.0103;0.0105;0.0108;0.0107;0.0127;0.0126;0.013;0.0139;0.0143;0.0157;0.0167;0.0168;0.0174;0.0191;0.0198;0.0217;0.0231;0.0234;0.0244;0.0274;0.0293;0.0306;0.0327;0.0343;0.0393;0.0412;0.046;0.0483;0.0518;0.0598;0.0629;0.0674;0.07;0.0792;0.0864;0.0955;0.1052;0.1109;0.1189;0.1308;0.1398;0.1548;0.1537;0.1716;0.1957;0.1985;0.224;0.2304;0.2423;0.2609;0.2773;0.2736;0.2467;0.3085;0.3367;0.3169;0.3655;0.3165;0.2992;0.3447;0.4421;0.4133;0.4914;0.5787;0.4168;0.3577;0.3745;0.3912;0.4077;0.4239;0.4399;0.4555;0.4706;0.4853;0.4994;0.513;0.526;0.5383;0.5501;0.5613;0.5718
1914;0.1221;0.0253;0.0106;0.0065;0.0048;0.0043;0.0034;0.0028;0.0025;0.0022;0.0023;0.002;0.0025;0.0022;0.0027;0.0028;0.0045;0.0057;0.0721;0.0833;0.0695;0.0789;0.0731;0.0695;0.0693;0.0644;0.0595;0.0581;0.0585;0.0564;0.0557;0.0548;0.0518;0.0475;0.0376;0.0348;0.0298;0.0275;0.0245;0.0252;0.0244;0.0213;0.0181;0.0185;0.0177;0.0156;0.0161;0.0138;0.0157;0.0162;0.0173;0.0179;0.0185;0.0197;0.0216;0.0225;0.0234;0.0256;0.028;0.0285;0.0312;0.0334;0.0349;0.0382;0.0393;0.0458;0.0462;0.0527;0.0575;0.0596;0.0698;0.0735;0.0789;0.0822;0.0915;0.1043;0.1102;0.1199;0.1304;0.1415;0.155;0.1652;0.1855;0.1799;0.1975;0.2196;0.232;0.2428;0.2545;0.2722;0.301;0.3102;0.3119;0.311;0.3321;0.3384;0.3004;0.4743;0.3755;0.3556;0.5117;0.4784;0.5687;0.6698;0.4824;0.414;0.4334;0.4527;0.4718;0.4907;0.5091;0.5271;0.5447;0.5616;0.578;0.5937;0.6087;0.6231;0.6367;0.6496;0.6618
1915;0.1208;0.0307;0.0138;0.0091;0.0066;0.0054;0.0044;0.0038;0.0032;0.0029;0.0026;0.0027;0.0023;0.0029;0.0031;0.0032;0.0051;0.0053;0.04;0.0833;0.0944;0.089;0.0866;0.0903;0.0846;0.08;0.0762;0.0732;0.0691;0.0646;0.0632;0.0638;0.0624;0.0599;0.0544;0.0463;0.0393;0.0345;0.0302;0.0266;0.0262;0.0262;0.0237;0.0217;0.0188;0.0188;0.0184;0.0176;0.0167;0.0167;0.0173;0.0184;0.0196;0.0203;0.0205;0.0237;0.0234;0.0256;0.0274;0.0292;0.0305;0.0327;0.0366;0.0391;0.041;0.044;0.0491;0.0516;0.0585;0.0616;0.0672;0.0745;0.0822;0.0866;0.0914;0.0983;0.1117;0.1194;0.1309;0.1396;0.1489;0.1553;0.1704;0.1897;0.1886;0.2109;0.2283;0.2451;0.2522;0.2675;0.2866;0.2917;0.2862;0.2989;0.3466;0.3918;0.2978;0.3281;0.2909;0.4783;0.3839;0.3589;0.4267;0.5025;0.3619;0.3105;0.3251;0.3396;0.354;0.3681;0.3819;0.3954;0.4086;0.4213;0.4336;0.4454;0.4567;0.4674;0.4776;0.4873;0.4965
1916;0.1378;0.0277;0.0128;0.0075;0.0062;0.0046;0.0041;0.0032;0.003;0.0024;0.0025;0.0026;0.0023;0.0027;0.0028;0.0038;0.004;0.0059;0.0257;0.0511;0.063;0.0703;0.0665;0.0646;0.0674;0.0619;0.0584;0.0562;0.0535;0.0509;0.047;0.0462;0.0465;0.0454;0.0432;0.0398;0.0338;0.0289;0.0252;0.0225;0.0199;0.0195;0.0199;0.0175;0.0163;0.0154;0.0159;0.0163;0.0168;0.0159;0.0155;0.017;0.0182;0.0188;0.0196;0.0209;0.023;0.0245;0.0256;0.028;0.03;0.0313;0.0343;0.0376;0.0394;0.0423;0.0463;0.0507;0.0534;0.0607;0.0651;0.0699;0.0801;0.0831;0.092;0.0986;0.1059;0.1184;0.1234;0.1377;0.1506;0.1603;0.167;0.1769;0.202;0.2093;0.2201;0.2429;0.2507;0.2669;0.2733;0.3105;0.3156;0.3093;0.2978;0.3509;0.3605;0.3603;0.3745;0.4906;0.2466;0.2305;0.274;0.3227;0.2325;0.1995;0.2088;0.2181;0.2274;0.2364;0.2453;0.254;0.2624;0.2706;0.2785;0.2861;0.2933;0.3002;0.3068;0.313;0.3189
1917;0.146;0.0322;0.0128;0.0081;0.006;0.0048;0.0036;0.0032;0.0027;0.0025;0.0023;0.0024;0.0024;0.0025;0.0029;0.0036;0.0048;0.0056;0.0217;0.0338;0.0359;0.0414;0.0451;0.042;0.0407;0.0428;0.0388;0.037;0.0359;0.0342;0.0319;0.03;0.0298;0.0303;0.0294;0.0285;0.026;0.0224;0.0192;0.0177;0.0158;0.0146;0.0146;0.0146;0.0146;0.0137;0.0137;0.0141;0.015;0.016;0.0161;0.0156;0.0178;0.0184;0.0197;0.0211;0.022;0.0242;0.0259;0.0284;0.0304;0.031;0.0333;0.0367;0.0411;0.0441;0.0464;0.0499;0.057;0.0612;0.0681;0.0732;0.0774;0.0875;0.0968;0.1053;0.1083;0.1201;0.1358;0.1468;0.1566;0.1634;0.181;0.1887;0.2;0.2276;0.2358;0.2588;0.2615;0.2947;0.3091;0.2932;0.2959;0.3533;0.3197;0.324;0.3297;0.3891;0.2904;0.4286;0.261;0.244;0.2901;0.3417;0.2461;0.2112;0.2211;0.2309;0.2407;0.2503;0.2597;0.2689;0.2778;0.2865;0.2948;0.3028;0.3105;0.3178;0.3248;0.3314;0.3376
1918;0.1597;0.0426;0.0205;0.0116;0.0094;0.0072;0.0061;0.0053;0.0044;0.0042;0.004;0.0041;0.0038;0.004;0.0049;0.0064;0.0084;0.0114;0.0174;0.0358;0.0491;0.0526;0.0612;0.0655;0.0634;0.0626;0.0639;0.0586;0.0553;0.0538;0.052;0.0499;0.0475;0.0464;0.0469;0.0458;0.044;0.0408;0.0351;0.0306;0.0274;0.0238;0.0217;0.0222;0.0226;0.0205;0.0206;0.0206;0.0212;0.0223;0.0214;0.0215;0.0206;0.0219;0.0232;0.0247;0.0244;0.026;0.027;0.0288;0.0315;0.0329;0.0351;0.0376;0.0411;0.0457;0.0461;0.0514;0.054;0.0643;0.0653;0.0711;0.0761;0.0841;0.0939;0.0973;0.1055;0.1113;0.1208;0.1342;0.1429;0.1504;0.1606;0.1753;0.1786;0.202;0.2222;0.218;0.2436;0.2581;0.2697;0.2675;0.2937;0.3256;0.2923;0.3004;0.3731;0.3469;0.438;0.3333;0.5072;0.4741;0.5637;0.6639;0.4781;0.4103;0.4296;0.4487;0.4677;0.4863;0.5046;0.5225;0.5398;0.5566;0.5729;0.5884;0.6033;0.6175;0.6311;0.6439;0.6559
1919;0.1527;0.0301;0.0143;0.0084;0.0059;0.0048;0.0039;0.0033;0.003;0.0028;0.0028;0.0025;0.0023;0.0028;0.0033;0.0041;0.0049;0.0065;0.0079;0.0101;0.0132;0.0141;0.0143;0.0164;0.0171;0.0165;0.0158;0.016;0.0148;0.0144;0.0138;0.014;0.0133;0.0129;0.0135;0.0134;0.013;0.0137;0.0122;0.0129;0.0117;0.0124;0.0123;0.0119;0.0126;0.013;0.0134;0.0129;0.0133;0.0152;0.0157;0.0167;0.0173;0.019;0.0191;0.0204;0.0224;0.0227;0.0243;0.026;0.0286;0.0298;0.0327;0.0343;0.0376;0.043;0.0442;0.0484;0.0519;0.0548;0.0655;0.0655;0.0742;0.0796;0.0869;0.0975;0.1014;0.112;0.117;0.1311;0.144;0.1521;0.1648;0.1782;0.1863;0.2062;0.2258;0.2381;0.2485;0.2667;0.2813;0.2857;0.2828;0.3286;0.3094;0.433;0.3298;0.3019;0.3654;0.2889;0.3455;0.323;0.3841;0.4523;0.3258;0.2795;0.2927;0.3057;0.3186;0.3313;0.3438;0.356;0.3678;0.3792;0.3903;0.4009;0.411;0.4207;0.4299;0.4387;0.4469
1920;0.1265;0.025;0.0123;0.0074;0.0055;0.0041;0.0035;0.003;0.0028;0.0023;0.0021;0.0022;0.0022;0.0023;0.0025;0.0032;0.0039;0.0044;0.0054;0.0071;0.0076;0.0071;0.0077;0.0073;0.0074;0.0071;0.0069;0.0073;0.0067;0.0071;0.0069;0.0071;0.0072;0.0074;0.0073;0.0074;0.0076;0.0078;0.008;0.0086;0.0088;0.009;0.0093;0.0092;0.0102;0.0105;0.0108;0.0112;0.0124;0.0133;0.0137;0.0152;0.0157;0.0168;0.0185;0.0192;0.0211;0.0207;0.0234;0.0244;0.0275;0.028;0.0307;0.0329;0.036;0.0394;0.0404;0.0461;0.0485;0.052;0.057;0.0634;0.0702;0.074;0.0806;0.0891;0.0954;0.1022;0.114;0.1187;0.1305;0.1412;0.149;0.1631;0.1738;0.191;0.198;0.2165;0.232;0.2361;0.2614;0.2566;0.2779;0.2759;0.3048;0.3042;0.2667;0.3199;0.2893;0.3983;0.3026;0.2828;0.3363;0.396;0.2852;0.2448;0.2563;0.2677;0.279;0.2901;0.301;0.3117;0.322;0.3321;0.3417;0.351;0.3599;0.3684;0.3765;0.3841;0.3913
