;BMAF ;Plafond ressources CF APJE (1 enfant);Plafond ressources CF APJE (2 enfants);Plafond ressources CF APJE (3 enfants);Plafond ressources CF APJE (4 enfants);Plafond ressources CF APJE (enfant suppl);Majoration plafond ressources CF et APJE;Plafond ressources ARS (1 enfant);Plafond ressources ARS (2 enfants);Plafond ressources ARS (3 enfants);Plafond ressources ARS (4 enfants);Plafond ressources ARS (enfant suppl)
1979;135.87;7173;8607;10042;11476;1435;1260;5505;6606;7707;8809;1101
1980;153.84;7987;9584;11181;12778;1597;1403;6165;7398;8631;9863;1233
1981;176.37;8995;10794;12593;14392;1799;1581;7103;8524;9944;11365;1421
1982;194.84;10244;12293;14342;16391;2049;1800;8480;10176;11872;13568;1696
1983;219.15;11443;13732;16020;18309;2289;2011;9965;11958;13950;15943;1993
1984;232.59;12434;14920;17625;20330;2705;2980;11551;14216;16882;19547;2666
1985;246.1;13388;16066;19279;22492;3213;4305;12580;15483;18386;21289;2903
1986;254.52;14092;16910;20292;23675;3382;4531;13740;16911;20082;23252;3171
1987;257.69;14702;17642;21171;24699;3528;4727;14205;17483;20761;24039;3278
1988;267.08;15158;18190;21828;25466;3638;4874;14690;18080;21470;24860;3390
1989;273.76;15635;18762;22515;26267;3752;5027;15176;18678;22180;25682;3502
1990;282.86;16401;19681;23618;27554;3936;5274;15782;19424;23066;26708;3642
1991;291.01;17364;20837;25005;29172;4167;5583;16505;20314;24123;27932;3809
1992;297.67;18371;22045;26454;30863;4409;5907;17234;21211;25188;29165;3977
1993;306.54;19158;22989;27587;32185;4598;6160;17972;22120;26267;30414;4147
1994;312.67;19564;23477;28173;32868;4696;6291;18378;22620;26861;31102;4241
1995;316.62;19881;23858;28629;33401;4772;6393;18764;23094;27424;31754;4330
1996;316.94;20134;24161;28994;33826;4832;6474;18764;23094;27424;31754;4330
1997;321.44;20326;24391;29269;34147;4878;6535;19120;23533;27945;32358;4412
1998;324.97;20630;24756;29707;34658;4951;6633;19331;23791;28252;32713;4461
1999;327.28;20805;24965;29959;34952;4993;6689;19447;23934;28422;32910;4488
2000;328.91;20919;25103;30123;35144;5021;6726;19544;24054;28564;33074;4510
2001;334.84;21139;25367;30440;35513;5073;6797;19856;24439;29021;33603;4582
2002;341.87;21477;25773;30927;36081;5154;6905;20175;24831;29488;34144;4656
2003;347.68;21832;26199;31438;36678;5239;7019;20518;25253;29988;34723;4735
2004;353.59;22226;26671;32005;37339;5334;7146;20908;25733;30558;35383;4825
2005;361.37;22626;27151;32581;38011;5430;7275;21264;26171;31079;35986;4908
2006;367.87;23010;27613;33135;38658;5523;7399;21624;26614;31604;36594;4990
2007;374.12;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2008;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2009;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
2010;374;23401;28082;33697;39313;5616;7525;21991;27066;32141;37216;5075
